Categoria: error, Hora de evento:15/7/2023, 5:15:06 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: error, Hora de evento:15/7/2023, 5:15:06 p. m., tag:Log de evento, mensaje:Error al crear nuevo doctor
Categoria: error, Hora de evento:15/7/2023, 5:40:39 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: error, Hora de evento:15/7/2023, 5:40:40 p. m., tag:Log de evento, mensaje:Error al crear nuevo doctor
Categoria: error, Hora de evento:15/7/2023, 6:02:14 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: error, Hora de evento:15/7/2023, 6:02:14 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: error, Hora de evento:15/7/2023, 6:02:14 p. m., tag:Log de evento, mensaje:Error al crear nuevo paciente
Categoria: error, Hora de evento:15/7/2023, 6:02:15 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: error, Hora de evento:15/7/2023, 6:02:15 p. m., tag:Log de evento, mensaje:Error al crear nueva cita
Categoria: error, Hora de evento:15/7/2023, 6:02:14 p. m., tag:Log de evento, mensaje:Error al crear nuevo doctor
Categoria: error, Hora de evento:15/7/2023, 6:07:25 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: error, Hora de evento:15/7/2023, 6:07:25 p. m., tag:Log de evento, mensaje:Error al crear nuevo paciente
Categoria: error, Hora de evento:15/7/2023, 6:07:26 p. m., tag:Log de evento, mensaje:Error consultando la lista de citas
Categoria: error, Hora de evento:15/7/2023, 6:07:26 p. m., tag:Log de evento, mensaje:Error al crear nueva cita
Categoria: error, Hora de evento:15/7/2023, 6:07:25 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: error, Hora de evento:15/7/2023, 6:07:26 p. m., tag:Log de evento, mensaje:Error al crear nuevo doctor
Categoria: error, Hora de evento:15/7/2023, 6:23:05 p. m., tag:Log de evento, mensaje:Error consultando la lista de citas
Categoria: error, Hora de evento:15/7/2023, 6:23:05 p. m., tag:Log de evento, mensaje:Error al crear nueva cita
Categoria: error, Hora de evento:15/7/2023, 6:23:05 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: error, Hora de evento:15/7/2023, 6:23:05 p. m., tag:Log de evento, mensaje:Error al crear nuevo doctor
Categoria: error, Hora de evento:15/7/2023, 6:23:05 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: error, Hora de evento:15/7/2023, 6:23:05 p. m., tag:Log de evento, mensaje:Error al crear nuevo paciente
